index,name,n_PBS,n_Lecanemab,mean_PBS,mean_Lecanemab,median_PBS,median_Lecanemab,log2fc_Lec_over_PBS,t_stat,p_value,p_value_fdr
45,"left Primary somatosensory area, nose, layer 1",3,3,312.60422627670874,97.21228987873262,322.1348429314865,89.58779655491045,-1.6851266626363621,-7.0124591120704265,0.004392574451530995,0.12612858156538342
53,"left Primary somatosensory area, barrel field, layer 2/3",3,3,595.1846584357936,175.8636076182144,619.1116798804486,172.27455440151616,-1.7588803705888674,-12.334841251212897,0.001967825913946049,0.12612858156538342
52,"left Primary somatosensory area, barrel field, layer 1",3,3,236.28316370904545,81.06208704876268,226.02713323085652,78.69531078456524,-1.543417609095411,-13.443664947661343,0.0020731629002003586,0.12612858156538342
182,"left Lateral visual area, layer 5",3,3,598.06939036505,262.8876441165055,591.4971992621374,300.6777429582532,-1.1858665453082584,-8.057515556440318,0.005045143262615337,0.12612858156538342
167,"left Anterolateral visual area, layer 4",3,3,33.318350477388364,11.265917067893907,33.07865011424168,10.067415252160513,-1.5643522209611118,-6.147008563985761,0.003764895747280167,0.12612858156538342
46,"left Primary somatosensory area, nose, layer 2/3",3,3,418.70111303122604,179.352153600266,402.10625184401283,170.41645911484352,-1.2231256843925595,-6.416117914023327,0.007647365073224081,0.14890203939363647
90,"left Primary somatosensory area, trunk, layer 5",3,3,12.559672615711944,7.913774908332606,12.28406851442673,8.504355125372351,-0.6663609225185061,-5.466244444422535,0.008338514206043642,0.14890203939363647
55,"left Primary somatosensory area, barrel field, layer 5",3,3,407.1838244633682,216.4095582433421,435.50187960540336,235.18890007437594,-0.9119160302912164,-4.616878854598089,0.009926485813996706,0.15510134084369853
183,"left Lateral visual area, layer 6a",3,3,8.807339031215127,3.6534147092447937,9.198776321491355,3.522935612486051,-1.269460674762143,-3.949999999999999,0.019076193695770714,0.16097530466713905
189,"left Primary visual area, layer 5",3,3,524.4717699607226,178.21537615060845,507.07689899206275,185.10768351554913,-1.557243305118271,-5.3374123233736155,0.013136351085353206,0.16097530466713905
187,"left Primary visual area, layer 2/3",3,3,3479.2345524307148,1272.9817407498645,3639.7571766308442,1231.917813628901,-1.450558215629389,-5.345115895171695,0.014210719104500424,0.16097530466713905
166,"left Anterolateral visual area, layer 2/3",3,3,551.6017917805892,177.36392018668462,564.0172661936571,138.343857745614,-1.6369145803503595,-5.669667217199844,0.016012029001508086,0.16097530466713905
73,"left Primary somatosensory area, mouth, layer 1",3,3,135.24284383689735,59.03735540548498,138.74654445443355,69.8988273198472,-1.1958522560724525,-4.4350826846811335,0.011756166683061866,0.16097530466713905
144,"left Posterior auditory area, layer 1",3,3,12.262509093448609,6.744380001396736,12.507759275317582,6.62175491046225,-0.8624964761538049,-4.233243907726186,0.016893851086101735,0.16097530466713905
81,"left Primary somatosensory area, upper limb, layer 2/3",3,3,210.11526456604994,95.21516571475786,196.421398036287,100.13639899889141,-1.1419176884526474,-5.911458921674636,0.019317036560056684,0.16097530466713905
87,"left Primary somatosensory area, trunk, layer 1",3,3,1153.4024827019052,405.99767391107054,1231.8338515256346,359.8615746029944,-1.5063526660224877,-3.878084778247884,0.023284378643820484,0.18190920815484754
95,"left Primary somatosensory area, unassigned, layer 2/3",3,3,39.855639092365905,16.21423637615936,36.08975193403212,15.691196493057445,-1.2975227821663051,-4.948246055124155,0.027165962415335674,0.19974972364217405
181,"left Lateral visual area, layer 4",3,3,428.68783619913756,180.92908676085275,459.65767987892315,141.80928421796565,-1.2445031229375878,-3.3971251876343245,0.03270005366476012,0.2151319320050008
180,"left Lateral visual area, layer 2/3",3,3,229.31113104080688,68.62895857314471,251.50253081894948,66.5741993344278,-1.740417019340405,-4.90361647617904,0.03153920947393456,0.2151319320050008
88,"left Primary somatosensory area, trunk, layer 2/3",3,3,1265.9473182542233,466.40164356734545,1153.889780514017,454.2873151629988,-1.4405725913840277,-3.3882372319701455,0.035783049808227316,0.22106403280294315
102,"left Supplemental somatosensory area, layer 2/3",3,3,521.5136489129916,245.28261896475928,529.4153708662187,249.89195677080846,-1.0882600047269704,-4.742081134102813,0.038907269773317994,0.22106403280294315
101,"left Supplemental somatosensory area, layer 1",3,3,288.71389704798065,102.36219986246586,259.8425073431826,103.34645178422035,-1.4959574946533143,-4.7077391889244415,0.038676179329210664,0.22106403280294315
168,"left Anterolateral visual area, layer 5",3,3,76.27956820384665,24.706904166654734,64.76567111647357,19.42970133494207,-1.626382428061658,-3.3171271515984215,0.055774233410350454,0.27887116705175224
179,"left Lateral visual area, layer 1",3,3,95.20877766721732,33.24099565105433,86.18035909532603,35.7032916252065,-1.5181309922146993,-3.9250580990707737,0.05467895392293658,0.27887116705175224
