index	name	abbreviation	volume_mm3
76	Retrosplenial Area - Ventral (Left Hemisphere)	RSPv_LH	2.3133751098794164
77	Visual Area - Anterior (Right Hemisphere)	VISa_RH	0.7175625340823899
78	Visual Area - Anterior (Left Hemisphere)	VISa_LH	0.7208750342397252
79	Visual Area - Rostrolateral (Right Hemisphere)	VISrl_RH	0.5123750243365066
80	Visual Area - Rostrolateral (Left Hemisphere)	VISrl_LH	0.5083750241465168
81	Temporal Association Area (Right Hemisphere)	TEa_RH	1.557875073995092
82	Temporal Association Area (Left Hemisphere)	TEa_LH	1.5485000735498033
83	Perirhinal Area (Right Hemisphere)	PERI_RH	0.3956250187911792
84	Perirhinal Area (Left Hemisphere)	PERI_LH	0.394125018719933
85	Ectorhinal Area (Right Hemisphere)	ECT_RH	0.8570000407053158
86	Ectorhinal Area (Left Hemisphere)	ECT_LH	0.8492500403372105
87	Hippocampus (Right Hemisphere)	HIP_RH	0.07225000343169086
88	Hippocampus (Left Hemisphere)	HIP_LH	0.11006250522768823
89	Cornu Ammonis (Right Hemisphere)	CA_RH	8.481500402849633
90	Cornu Ammonis (Left Hemisphere)	CA_LH	8.466250402125297
91	Dentate Gyrus (Right Hemisphere)	DG_RH	3.2894376562398975
92	Dentate Gyrus (Left Hemisphere)	DG_LH	3.2948126564951963
93	Retrohippocampal Region (Right Hemisphere)	RHP_RH	3.554125168811879
94	Retrohippocampal Region (Left Hemisphere)	RHP_LH	3.549562668595172
95	Entorhinal Area - Lateral (Right Hemisphere)	ENTl_RH	3.1865001513506286
96	Entorhinal Area - Lateral (Left Hemisphere)	ENTl_LH	3.186250151338754
97	Entorhinal Area - Medial (Right Hemisphere)	ENTm_RH	2.505875119022676
98	Entorhinal Area - Medial (Left Hemisphere)	ENTm_LH	2.503250118897995
99	Dorsal Thalamus (Sensory-Motor) (Right Hemisphere)	DORsm_RH	0.07962500378198456
100	Dorsal Thalamus (Sensory-Motor) (Left Hemisphere)	DORsm_LH	0.11737500557501335
101	Ventral Thalamus (Right Hemisphere)	VENT_RH	1.0160000482574105
102	Ventral Thalamus (Left Hemisphere)	VENT_LH	1.0124375480882009
103	Ventral Posterior Nucleus (Right Hemisphere)	VP_RH	1.4185000673751347
104	Ventral Posterior Nucleus (Left Hemisphere)	VP_LH	1.417687567336543
105	Subparafascicular Nucleus (Right Hemisphere)	SPF_RH	0.10200000484474003
106	Subparafascicular Nucleus (Left Hemisphere)	SPF_LH	0.10393750493676635
107	Medial Geniculate Nucleus (Right Hemisphere)	MG_RH	0.3458125164252124
108	Medial Geniculate Nucleus (Left Hemisphere)	MG_LH	0.34950001660035923
109	Lateral Geniculate Nucleus - Dorsal (Right Hemisphere)	LGd_RH	0.35750001698033884
110	Lateral Geniculate Nucleus - Dorsal (Left Hemisphere)	LGd_LH	0.3610000171465799
111	Dorsal Thalamus (Polymodal) (Right Hemisphere)	DORpm_RH	0.7231250343465945
112	Dorsal Thalamus (Polymodal) (Left Hemisphere)	DORpm_LH	0.7217500342812855
113	Lateral Thalamic Region (Right Hemisphere)	LAT_RH	1.5361250729620224
114	Lateral Thalamic Region (Left Hemisphere)	LAT_LH	1.5370000730035827
115	Anterior Thalamic Nuclei (Right Hemisphere)	ATN_RH	0.8678750412218506
116	Anterior Thalamic Nuclei (Left Hemisphere)	ATN_LH	0.8743125415276154
117	Anteromedial Nucleus (Right Hemisphere)	AM_RH	0.20562500976666342
118	Anteromedial Nucleus (Left Hemisphere)	AM_LH	0.20412500969541725
119	Mediodorsal Nucleus (Right Hemisphere)	MED_RH	0.9562500454194378
120	Mediodorsal Nucleus (Left Hemisphere)	MED_LH	1.0533750500326278
121	Midline Thalamic Nuclei (Right Hemisphere)	MTN_RH	0.4640000220388174
122	Midline Thalamic Nuclei (Left Hemisphere)	MTN_LH	0.7270000345306471
123	Intralaminar Nuclei (Right Hemisphere)	ILM_RH	0.7612500361574348
124	Intralaminar Nuclei (Left Hemisphere)	ILM_LH	0.8563750406756299
125	Ventral Geniculate (Right Hemisphere)	GENv_RH	0.2617500124324579
126	Ventral Geniculate (Left Hemisphere)	GENv_LH	0.26125001240870915
127	Epithalamus (Right Hemisphere)	EPI_RH	0.32912501563259866
128	Epithalamus (Left Hemisphere)	EPI_LH	0.33062501570384484
129	Hypothalamus (Right Hemisphere)	HY_RH	0.02650000125868246
130	Hypothalamus (Left Hemisphere)	HY_LH	0.049875002368935384
131	Periventricular Zone (Right Hemisphere)	PVZ_RH	0.30162501432641875
132	Periventricular Zone (Left Hemisphere)	PVZ_LH	0.4729375224633259
133	Periventricular Region (Right Hemisphere)	PVR_RH	0.9221250437985873
134	Periventricular Region (Left Hemisphere)	PVR_LH	1.1033125524045317
135	Median Eminence Zone (Right Hemisphere)	MEZ_RH	1.3775000654277392
136	Median Eminence Zone (Left Hemisphere)	MEZ_LH	1.4274375677996431
137	Mammillary Body (Right Hemisphere)	MBO_RH	0.15612500741553959
138	Mammillary Body (Left Hemisphere)	MBO_LH	0.17631250837439438
139	Medial Mammillary Nucleus (Right Hemisphere)	MM_RH	0.2500000118743628
140	Medial Mammillary Nucleus (Left Hemisphere)	MM_LH	0.2938125139553449
141	Tuberomammillary Nucleus (Right Hemisphere)	TM_RH	0.06837500324763823
142	Tuberomammillary Nucleus (Left Hemisphere)	TM_LH	0.06687500317639206
143	Lateral Zone (Right Hemisphere)	LZ_RH	2.717500129074324
144	Lateral Zone (Left Hemisphere)	LZ_LH	2.7183126291129156
145	Zona Incerta (Right Hemisphere)	ZI_RH	0.12162500577687752
146	Zona Incerta (Left Hemisphere)	ZI_LH	0.11925000566407107
147	Midbrain Sensory Nucleus (Right Hemisphere)	MBsen_RH	0.12125000575906597
148	Midbrain Sensory Nucleus (Left Hemisphere)	MBsen_LH	0.13025000618654303
149	Superior Colliculus (Superficial) (Right Hemisphere)	SCs_RH	1.0371250492607942
150	Superior Colliculus (Superficial) (Left Hemisphere)	SCs_LH	1.1098750527162338
151	Inferior Colliculus (Right Hemisphere)	IC_RH	2.227750105812447
152	Inferior Colliculus (Left Hemisphere)	IC_LH	2.2225001055630855
153	Midbrain Motor Nucleus (Right Hemisphere)	MBmot_RH	6.444312806088419
154	Midbrain Motor Nucleus (Left Hemisphere)	MBmot_LH	6.66556281659723
155	Superior Colliculus (Motor) (Right Hemisphere)	SCm_RH	2.762375131205772
156	Superior Colliculus (Motor) (Left Hemisphere)	SCm_LH	2.8916251373448176
157	Periaqueductal Gray (Right Hemisphere)	PAG_RH	0.1876250089117093
158	Periaqueductal Gray (Left Hemisphere)	PAG_LH	0.19337500918481965
159	Pretectal Region (Right Hemisphere)	PRT_RH	1.030750048957998
160	Pretectal Region (Left Hemisphere)	PRT_LH	1.0400000493973494
161	Midbrain MBsta (Right Hemisphere)	MBsta_RH	0.5400000256486237
162	Midbrain MBsta (Left Hemisphere)	MBsta_LH	0.540875025690184
163	Midbrain RAmb (Right Hemisphere)	RAmb_RH	0.12600000598467886
164	Midbrain RAmb (Left Hemisphere)	RAmb_LH	0.2819375133913127
165	Interpeduncular Nucleus (Right Hemisphere)	IPN_RH	0.16062500762927812
166	Interpeduncular Nucleus (Left Hemisphere)	IPN_LH	0.18793750892655225
167	Primary Sensory Nucleus (Hindbrain) (Right Hemisphere)	P-sen_RH	1.3906250660511432
168	Primary Sensory Nucleus (Hindbrain) (Left Hemisphere)	P-sen_LH	1.3896250660036458
