index	name	abbreviation	volume_mm3
1	L_Olfactory areas	L_OLF	19.028375903799315
2	R_Olfactory areas	R_OLF	19.062125905402354
3	L_Isocortex	L_Iso	61.56275292407372
4	R_Isocortex	R_ISO	61.81825293620932
5	L_Hippocampal formation	L_HYP	20.63575098014553
6	R_Hippocampal formation	R_HYP	20.64150098041864
7	L_Amygdala	L_AMY	8.083250383933773
8	R_Amygdala	R_AMY	8.078375383702223
9	L_Striatum	L_STR	19.097625907088513
10	R_Striatum	R_STR	19.11862590808596
11	L_Pallidum	L_PAL	4.070875193356187
12	R_Pallidum	R_PAL	4.1662501978862565
13	L_Thalamus	L_THA	9.613375456610811
14	R_Thalamus	R_THA	9.748375463022967
15	L_Hypothalamus	L_HY	6.15600029239431
16	R_Hypothalamus	R_HY	6.196625294323894
17	L_Midbrain	L_MB	14.879875706756138
18	R_Midbrain	R_MB	15.08250071638031
19	L_Hindbrain	L_HB	23.43025111287716
20	R_Hindbrain	R_HB	23.69987612568366
21	L_Cerebellum	L_CEB	26.30400124937296
22	R_Cerebellum	R_CEB	26.616501264215913
