index,name,n_PBS,n_Lecanemab,mean_PBS,mean_Lecanemab,median_PBS,median_Lecanemab,log2fc_Lec_over_PBS,t_stat,p_value,p_value_fdr
775,"left Tuberomammillary nucleus, ventral part",4,2,101.49941847776765,230.680496540381,92.27219861615241,230.680496540381,1.1844245711294674,6.999999999999998,0.002192129806692942,0.4602479879829468
10200,"right posteromedial visual area, layer 1",5,4,616.99516698385,206.7251848141766,614.8749086780637,233.2284136365069,-1.5775450291540323,-6.4749284997005185,0.0016188708465987086,0.4602479879829468
52,"left Primary somatosensory area, barrel field, layer 1",5,4,1269.031236296531,346.9448419412726,1211.3263210045804,318.3308343584872,-1.8709493572235523,-4.858897873014345,0.002765913389320594,0.4602479879829468
399,"left Taenia tecta, dorsal part",5,3,40.52389433681948,11.10243680460808,41.63413801728029,8.32682760345606,-1.8678964638983113,-6.05961667503531,0.0009163670937621533,0.4602479879829468
10293,"right Agranular insular area, ventral part, layer 2/3",5,4,236.21449982142275,76.5509953124981,218.71712946428033,65.6151388392841,-1.6256044852057634,-4.705887979004867,0.002617937597770443,0.4602479879829468
10123,"right Dorsal auditory area, layer 1",5,4,342.3868150132192,108.89521483408598,405.1914970570641,116.49255540390593,-1.6526865866836893,-4.292444379418022,0.004273429273674848,0.5079275936710677
449,left Postpiriform transition area,5,5,124.3828825094204,37.743771244237905,130.1016357282443,31.453142703531594,-1.7204774713510131,-4.041257475741339,0.003749652448792726,0.5079275936710677
10180,"right Lateral visual area, layer 2/3",5,4,661.2692511258199,29.816749800262414,404.1826084035572,29.816749800262418,-4.471042908961382,-2.20108032354569,0.09231848244529814,0.5877443953690678
10152,"right Ventral auditory area, layer 2/3",5,4,214.65319722881205,27.352652559496683,140.6707845916972,18.235101706331122,-2.9722550094710725,-2.3205504354339004,0.0781258181889494,0.5877443953690678
10151,"right Ventral auditory area, layer 1",5,4,517.1576877413542,168.11091055935438,464.4713817516183,152.51299102291944,-1.621190883174956,-3.7343539204646277,0.007404840064339372,0.5877443953690678
10145,"right Posterior auditory area, layer 2/3",5,3,185.66552019159994,27.30375296935293,68.25938242338233,13.651876484676466,-2.7655347463179085,-1.7338556991122582,0.1548673477448706,0.5877443953690678
752,left Suprachiasmatic nucleus,2,3,30.30302886371375,101.01009621237917,30.30302886371375,90.90908659114125,1.73696559413288,7.0,0.01980394118039314,0.5877443953690678
692,left Paraventricular nucleus of the thalamus,4,4,29.93451681953381,9.210620559856556,25.32920653960553,9.210620559856556,-1.7004397180326534,-2.2738101868796017,0.10033136767618879,0.5877443953690678
10792,right Posterior hypothalamic nucleus,4,2,54.23489793463386,4.226095942958483,53.53054861080745,4.226095942958483,-3.681824039658968,-2.304757529722244,0.10379678456497123,0.5877443953690678
10782,"right Paraventricular hypothalamic nucleus, descending division",3,3,76.42703243391843,25.47567747797281,76.42703243391843,15.285406486783685,-1.5849625006834027,-2.5,0.08244173716174753,0.5877443953690678
10768,"right Medial mammillary nucleus, posterior part",4,2,222.58591414132138,52.37315626854621,157.11946880563863,52.37315626854621,-2.0874628412292746,-1.967289761990741,0.14382613717386405,0.5877443953690678
10182,"right Lateral visual area, layer 5",5,2,195.90537729805493,15.901410494971993,114.49015556379834,15.901410494971993,-3.622930350836813,-2.1535394941284127,0.09586455333139178,0.5877443953690678
10535,right Subiculum,5,4,135.5493110920893,12.11959127927166,31.368353899291353,8.079727519514439,-3.483404829476635,-1.6833818872030673,0.1668467589951444,0.5877443953690678
10847,right Nucleus of the posterior commissure,5,2,19.33326049071714,34.52367944770918,13.80947177908367,34.52367944770918,0.8365012676842863,1.9756583222945239,0.11939340407967469,0.5877443953690678
